Site,Arthropod,Bird,Lizard,Mammal,Unknown,Removed,Dropped,Interact,mammal.visits,bird.visits,Canopy,Lat,Lon,Elevation,Date,dist_road,dist_built,Area,Age,Dist_continent,Number_neighbors,elevation_range,near_length,mass_effect,per_forest,Native_plants,Bird diversity,Bird mass,Reptile_diversity,Reptile_mass,per_built,per_crops,Population,GDP,GDP_capita,road_length,number_of_tourists,island
Antigua,12,15,38,0,15,0,0,68,0,0,84.95833333,17.05218084,-61.85663542,100,44700,400.94936,535.9683015,297.96,29,637.038,5,365,38607.25915,368.1532914,27.2,256,42,2462.115,7,3548,40.5,3.6,83933,2.393,2.85E-05,231,247000,A
Dominica,18,8,3.5,1,7,57.5,4.5,77,2,0,85.66666667,15.34541643,-61.30893631,772.25,44991,133.2647013,2377.309661,770.37,1.7,462.279,4,1422,29996.61333,745.361486,76,980,55,4656.74,4,3553,5.2,0.2,70739,0.783,1.11E-05,298,71000,B
Grenada,66.5,10,19.5,0,2.5,30,0,62,0.5,0,85.41666667,12.09735792,-61.68039667,376.7083334,44685,434.9655756,960.2599337,328.45,12,137.382,2,823,25979.75462,35.95301874,71.1,751,49,2851.965,6,8600,25.6,0.2,101006,1.634,1.62E-05,215,168000,C
Guadeloupe,0.5,0.5,0,0,0.5,109.5,0,110.5,2,0,85.83333334,16.02970167,-61.66755,952.2916667,45041,531.3611767,1735.542452,1437.41,7,527.403,5,1450,8736.71,173.9661146,48.9,1182,70,3330.465,3,11710,26.1,17.5,395791,3.513,8.88E-06,974,650000,D
Martinique,4,16.5,0,0,0,29,3.5,45.5,0.25,0.25,67.58333334,14.81004708,-61.18193292,733.125,45054,208.9080306,2984.082883,1180.25,11,404.453,2,1374,31864.9116,698.3657185,48.4,1205,53,2929.165,2,11697,26.1,10,358749,6.117,1.71E-05,919,536000,E
Montserrat,2,3,0,0,0,124.5,0,127.5,0,1.75,87,16.771055,-62.20335792,317.4166667,45010,418.8790701,378.4813646,110.5,2.5,589.405,5,936,38607.25915,446.6396769,46.5,595,36,2195.595,3,8362,10.4,0,4519,0.167,3.70E-05,27,9000,F
Nevis,0.5,1,4,1,0,149,1,155,4.5,0,86.375,17.14360687,-62.58548717,441.1666667,45006,684.3378242,605.3322401,96.54,2.5,624.705,8,973,2772.629238,164.5122812,35.4,207,51,2755.04,4,3530,35.9,0.4,12277,1.528,0.00012446,57,115000,G
Saba,0,6.5,0,1.5,0,20,8,28,0,0,85.20833333,17.63458341,-63.23896943,827.375,45050,663.5151438,748.0719359,13.02,1,649.701,6,840,21626.39268,74.92924287,39.9,363,38,2301.165,2,8237,11.4,0,2035,0.048,2.36E-05,8,13200,H
St. Eustacius,0,1.5,2,5,0,49.5,6,58,0,0.25,68.08333333,17.47742228,-62.96714705,410.875,45037,389.4911936,469.135154,20.87,2,641.032,6,564,56774.22778,118.2101317,20.6,322,39,2304.015,4,3530,30.6,0.5,3293,0.102,3.10E-05,5,10500,I
St. Kitts,0.5,1.5,0,2.5,0,47,0.5,51,0.25,0,89.33333334,17.3749885,-62.81705048,650.7916667,45019,1440.070471,1399.448727,179.57,3,625.26,9,1134,12826.57164,89.80539177,40.3,491,50,2679.64,6,11756,21.4,8.9,34918,1.528,4.38E-05,133,115000,J
St. Vincent,1.5,26.5,1.5,0.5,2.5,44,1,75,0.75,0,48.04166667,13.22027487,-61.21140913,454.1666667,44984,2117.123419,2148.457113,360.6,1.7,272.121,3,1208,7148.500899,113.8955762,64.7,893,43,3149.865,4,8580,17.6,0.8,98954,1.265,1.28E-05,132,76000,K
Tobago,14.5,7,0.5,0,1,82,0.5,90.5,1,0.75,88.58333334,11.27999917,-60.62422,527.625,44983,285.0570368,969.4478775,310.95,66,97.172,1,576,10362.50773,10362.51,74.7,722,108,7105.1,5,13111.00538,20.7,0.1,60874,1.037,1.70E-05,173,71541,L
Trinidad,1,14,0.5,0.5,0.5,22.5,0.5,38,1,0,88.48106061,10.72721409,-61.30453231,704.4469697,44965,190.5385101,2055.858258,4848.18,145,10.362,2,940,35066.09,13823337.14,67.7,1886,208,13359.425,8,13096.81138,15.8,5.7,1267145,23.423,1.85E-05,1903,408459,M
